Instance,Runtime,Dual_Bound,Primal_Bound,Lamda,Optimal_Value
55,0.02200007438659668,"[0.9886546952460444, 0.9861403491382091, 0.9850504571713012, 0.9845284691944878, 0.9842749607328595, 0.9841511341421808]","[0.9827041963430042, 0.9838570126279055, 0.9839847164619764, 0.9840156000370845, 0.9840236214893647, 0.9840276144162753]","[0.00019982257400570768, 9.991128700285384e-05, 4.995564350142692e-05, 2.497782175071346e-05, 1.248891087535673e-05, 6.244455437678365e-06]",0.9840276144162753
56,0.0,"[0.9890412438841734, 0.9866340860271726, 0.9856143681308055, 0.9851507762738266, 0.9849199504891339, 0.9848058125064094]","[0.9837262444854019, 0.9844867353705492, 0.9846705305132885, 0.9846882653385801, 0.9846916745236849, 0.9846916745236849]","[0.00019996307939781983, 9.998153969890992e-05, 4.999076984945496e-05, 2.499538492472748e-05, 1.249769246236374e-05, 6.24884623118187e-06]",0.9846916745236849
57,0.013000011444091797,"[0.9882991892908711, 0.9860016975062323, 0.9850150225046923, 0.9845409145527642, 0.9843056523507124, 0.9841903675435113]","[0.9831869334141959, 0.9839221270120628, 0.9840649458257877, 0.9840703901486608, 0.9840703901486608, 0.9840751065450701]","[0.00019991514258710873, 9.995757129355437e-05, 4.997878564677718e-05, 2.498939282338859e-05, 1.2494696411694296e-05, 6.247348205847148e-06]",0.9840751065450701
58,0.02499985694885254,"[0.9883475659903024, 0.9860362174419377, 0.9850347142970924, 0.9845583988100273, 0.9843260679661566, 0.9842116041934488]","[0.983277376570522, 0.9839857978719987, 0.9840794228679975, 0.9840905528262976, 0.9840942586472757, 0.9840990724373416]","[0.0001998223959857307, 9.991119799286535e-05, 4.9955598996432674e-05, 2.4977799498216337e-05, 1.2488899749108168e-05, 6.244449874554084e-06]",0.9840990724373416
59,0.006999969482421875,"[0.9875821075840584, 0.9855113223928309, 0.984591955267365, 0.984163302188604, 0.9839577392188329, 0.9838566257330961]","[0.9830642527361033, 0.9836128586427618, 0.983719430534783, 0.9837481816588662, 0.983755512247359, 0.983755512247359]","[0.00019986404493617708, 9.993202246808854e-05, 4.996601123404427e-05, 2.4983005617022135e-05, 1.2491502808511067e-05, 6.245751404255534e-06]",0.983755512247359
60,0.0,"[0.987983546371442, 0.9856224911928136, 0.9845945019736297, 0.9841236439297413, 0.9838917083175599, 0.9837757405114692]","[0.9827913444307788, 0.9834863388697807, 0.9835901287672013, 0.9836597727053785, 0.9836597727053785, 0.9836597727053785]","[0.00019990231757304356, 9.995115878652178e-05, 4.997557939326089e-05, 2.4987789696630445e-05, 1.2493894848315222e-05, 6.246947424157611e-06]",0.9836597727053785
61,0.01399993896484375,"[0.9891030638524126, 0.9868359767083802, 0.9858402198777595, 0.9853646469978998, 0.9851300325214125, 0.9850140256561573]","[0.9840961833811857, 0.9847480298777701, 0.9848779496827725, 0.9848898179953499, 0.9848962968156663, 0.9848982095249286]","[0.00019994618953087586, 9.997309476543793e-05, 4.9986547382718964e-05, 2.4993273691359482e-05, 1.2496636845679741e-05, 6.2483184228398705e-06]",0.9848982095249286
62,0.010999917984008789,"[0.9875301565291723, 0.9848556626658431, 0.9837922756118024, 0.9833003532647421, 0.9830593054597728, 0.9829392690274593]","[0.9809776835807577, 0.9826567764315272, 0.9827923000903634, 0.9828146468414456, 0.9828192325951459, 0.9828192325951459]","[0.00019993447021064966, 9.996723510532483e-05, 4.9983617552662415e-05, 2.4991808776331207e-05, 1.2495904388165604e-05, 6.247952194082802e-06]",0.9828192325951459
63,0.009999990463256836,"[0.9888072253456472, 0.9863962178183223, 0.985364229860845, 0.9848838606350863, 0.984646982495393, 0.9845307193992454]","[0.9834113003663811, 0.9842451988277879, 0.984376266992631, 0.9844084019814484, 0.9844144563030981, 0.9844144563030981]","[0.0001999156843868204, 9.99578421934102e-05, 4.99789210967051e-05, 2.498946054835255e-05, 1.2494730274176276e-05, 6.247365137088138e-06]",0.9844144563030981
64,0.01100015640258789,"[0.9892655081865939, 0.9870065212020197, 0.9859730159698896, 0.9854885224448015, 0.9852484225601478, 0.9851283726178203]","[0.9843403141180908, 0.984851308122365, 0.9849811662308757, 0.9850083226754937, 0.9850083226754937, 0.9850083226754937]","[0.00019987154808072765, 9.993577404036383e-05, 4.996788702018191e-05, 2.4983943510090956e-05, 1.2491971755045478e-05, 6.245985877522739e-06]",0.9850083226754937
