Instance,Runtime,Optimal_Lambda,Lambdas,Objective_Values
40,0.01699995994567871,4.882440080074129e-07,"[0, 0.0004999618641995908, 0.0002499809320997954, 0.0001249904660498977, 6.249523302494886e-05, 3.124761651247443e-05, 1.5623808256237214e-05, 7.811904128118607e-06, 3.9059520640593035e-06, 1.9529760320296517e-06, 9.764880160148259e-07, 9.764880160148259e-07]","[0.9851215680863993, 0.9891256763185425, 0.986946091961488, 0.9860111004008077, 0.9855587646742843, 0.9853395184854883, 0.9852305432859438, 0.9851760556861717, 0.9851488118862848, 0.9851351899863421, 0.9851283790363705, 0.9851283790363705]"
41,0.0,4.882157931618396e-07,"[0, 0.0004999329721977237, 0.00024996648609886186, 0.00012498324304943093, 6.249162152471546e-05, 3.124581076235773e-05, 1.5622905381178866e-05, 7.811452690589433e-06, 3.9057263452947165e-06, 1.9528631726473583e-06, 9.764315863236791e-07, 9.764315863236791e-07]","[0.9847948567327272, 0.9889949093795141, 0.9866848004760737, 0.9857055891207285, 0.9852427588571642, 0.9850148718832146, 0.9849045413262302, 0.984849699029479, 0.9848222778811027, 0.9848085673069151, 0.9848017120198208, 0.9848017120198208]"
42,0.0,4.881534894914182e-07,"[0, 0.0004998691732392123, 0.00024993458661960613, 0.00012496729330980307, 6.248364665490153e-05, 3.1241823327450766e-05, 1.5620911663725383e-05, 7.810455831862692e-06, 3.905227915931346e-06, 1.952613957965673e-06, 9.763069789828365e-07, 9.763069789828365e-07]","[0.984649020827134, 0.9888469866224991, 0.9865469015203352, 0.9855563261731162, 0.985089994961901, 0.9848652074044181, 0.9847557222174355, 0.9847021720120237, 0.9846755964195791, 0.9846623086233566, 0.9846556647252456, 0.9846556647252456]"
43,0.017000198364257812,4.878639823657071e-07,"[0, 0.0004995727179424841, 0.00024978635897124205, 0.00012489317948562103, 6.244658974281051e-05, 3.1223294871405256e-05, 1.5611647435702628e-05, 7.805823717851314e-06, 3.902911858925657e-06, 1.9514559294628285e-06, 9.757279647314143e-07, 9.757279647314143e-07]","[0.984295869661758, 0.9883012112302485, 0.9861388943076143, 0.9851784840057008, 0.9847213395197427, 0.984501047609163, 0.9843968880611764, 0.9843462549448023, 0.9843210623032801, 0.9843084659825194, 0.9843021678221388, 0.9843021678221388]"
44,0.0,4.882437214438469e-07,"[0, 0.0004999615707584992, 0.0002499807853792496, 0.0001249903926896248, 6.24951963448124e-05, 3.12475981724062e-05, 1.56237990862031e-05, 7.81189954310155e-06, 3.905949771550775e-06, 1.9529748857753875e-06, 9.764874428876938e-07, 9.764874428876938e-07]","[0.9843910125233833, 0.9887555408193305, 0.9863101963110129, 0.9853129536015525, 0.9848433809662481, 0.9846153059071715, 0.9845031592152768, 0.9844470858693299, 0.9844190491963559, 0.9844050308598694, 0.9843980216916262, 0.9843980216916262]"
45,0.01100015640258789,4.882584867377829e-07,"[0, 0.0004999766904194897, 0.00024998834520974483, 0.00012499417260487241, 6.249708630243621e-05, 3.1248543151218104e-05, 1.5624271575609052e-05, 7.812135787804526e-06, 3.906067893902263e-06, 1.9530339469511315e-06, 9.765169734755657e-07, 9.765169734755657e-07]","[0.986184359433347, 0.990276826631475, 0.9880717030352444, 0.9870721598665594, 0.9866157463933137, 0.986397627417197, 0.9862903868136539, 0.9862370458318129, 0.9862104335874604, 0.9861973492271388, 0.9861908446034309, 0.9861908446034309]"
46,0.01699995994567871,4.882701246777039e-07,"[0, 0.0004999886076699687, 0.00024999430383498437, 0.00012499715191749219, 6.249857595874609e-05, 3.1249287979373047e-05, 1.5624643989686523e-05, 7.812321994843262e-06, 3.906160997421631e-06, 1.9530804987108154e-06, 9.765402493554077e-07, 9.765402493554077e-07]","[0.9864223435409295, 0.9903688451686659, 0.9882356082599898, 0.987310129553414, 0.9868652370045266, 0.9866427907300828, 0.9865322685721195, 0.9864773060565247, 0.9864498247987271, 0.9864360841698289, 0.986429213855379, 0.986429213855379]"
47,0.01699995994567871,4.878434191609482e-07,"[0, 0.000499551661220811, 0.0002497758306104055, 0.00012488791530520274, 6.244395765260137e-05, 3.1221978826300684e-05, 1.5610989413150342e-05, 7.805494706575171e-06, 3.9027473532875855e-06, 1.9513736766437928e-06, 9.756868383218964e-07, 9.756868383218964e-07]","[0.9849230332887008, 0.9897033261995105, 0.9871391923047684, 0.9859947942494791, 0.9854509789187099, 0.9851842208305495, 0.9850533088827554, 0.984988171085728, 0.9849556021872142, 0.9849393177379575, 0.9849311755133291, 0.9849311755133291]"
48,0.007999897003173828,4.878354108021789e-07,"[0, 0.0004995434606614312, 0.0002497717303307156, 0.0001248858651653578, 6.24429325826789e-05, 3.122146629133945e-05, 1.5610733145669724e-05, 7.805366572834862e-06, 3.902683286417431e-06, 1.9513416432087155e-06, 9.756708216043578e-07, 9.756708216043578e-07]","[0.9848452989798734, 0.9884834786551738, 0.9864637899223789, 0.9856183229057652, 0.9852268749645728, 0.9850353123441188, 0.9849400530013495, 0.9848926759906118, 0.9848689874852423, 0.984857143232558, 0.9848512211062158, 0.9848512211062158]"
49,0.0009999275207519531,4.880863262667957e-07,"[0, 0.0004998003980971988, 0.0002499001990485994, 0.0001249500995242997, 6.247504976214985e-05, 3.123752488107492e-05, 1.561876244053746e-05, 7.80938122026873e-06, 3.904690610134365e-06, 1.9523453050671827e-06, 9.761726525335913e-07, 9.761726525335913e-07]","[0.984985221331955, 0.9890721747667438, 0.9868015212157794, 0.9858577876903988, 0.9854069827049691, 0.9851934322475159, 0.9850881445897797, 0.9850366822290572, 0.9850109517805062, 0.9849980865562308, 0.9849916539440925, 0.9849916539440925]"
50,0.015999794006347656,4.879597383939508e-07,"[0, 0.0004996707721154056, 0.0002498353860577028, 0.0001249176930288514, 6.24588465144257e-05, 3.122942325721285e-05, 1.5614711628606425e-05, 7.807355814303212e-06, 3.903677907151606e-06, 1.951838953575803e-06, 9.759194767879015e-07, 9.759194767879015e-07]","[0.9847559053715694, 0.98861745208635, 0.9865325356869734, 0.9856241774313008, 0.9851865945700705, 0.9849706488596877, 0.9848632771156285, 0.9848095912435991, 0.9847827483075847, 0.9847693268395771, 0.9847626161055736, 0.9847626161055736]"
