Instance,Runtime,K,Optimal_Value
32,"{1: 0.009999990463256836, 2: 0.007999897003173828, 5: 0.003000020980834961, 10: 0.003000020980834961}",3,"{1: 0.5875327959066817, 2: 0.6442670662775203, 5: 0.6779967895254999, 10: 0.6779967895254999}"
33,"{1: 0.007999897003173828, 2: 0.023999929428100586, 5: 0.003000020980834961, 10: 0.004000186920166016}",5,"{1: 0.5560818730666934, 2: 0.6628087238043924, 5: 0.7268027539943671, 10: 0.7268027539943671}"
34,"{1: 0.005000114440917969, 2: 0.009999990463256836, 5: 0.0010001659393310547, 10: 0.0009999275207519531}",3,"{1: 0.44249727979186615, 2: 0.4560447146098478, 5: 0.4619450779463765, 10: 0.4619450779463765}"
35,"{1: 0.006000041961669922, 2: 0.002000093460083008, 5: 0.0009999275207519531, 10: 0.0009999275207519531}",2,"{1: 0.6298634415132314, 2: 0.6811198277526705, 5: 0.6811198277526705, 10: 0.6811198277526705}"
36,"{1: 0.006999969482421875, 2: 0.01100015640258789, 5: 0.002000093460083008, 10: 0.002000093460083008}",4,"{1: 0.6229605602259193, 2: 0.6749750933601104, 5: 0.7079042104369374, 10: 0.7079042104369375}"
37,"{1: 0.01399993896484375, 2: 0.006000041961669922, 5: 0.011999845504760742, 10: 0.006000041961669922}",2,"{1: 0.6975114820498299, 2: 0.7061402195164916, 5: 0.7061402195164916, 10: 0.7061402195164916}"
38,"{1: 0.029999971389770508, 2: 0.01699995994567871, 5: 0.002000093460083008, 10: 0.002000093460083008}",4,"{1: 0.5226486324945635, 2: 0.638376686859125, 5: 0.6969502712354873, 10: 0.6969502712354873}"
39,"{1: 0.009000062942504883, 2: 0.017000198364257812, 5: 0.003000020980834961, 10: 0.002000093460083008}",5,"{1: 0.6579081217391233, 2: 0.7241818414716301, 5: 0.7688453773380569, 10: 0.7688453773380569}"
40,"{1: 0.009999990463256836, 2: 0.008999824523925781, 5: 0.0019998550415039062, 10: 0.0029997825622558594}",3,"{1: 0.5523203814098541, 2: 0.6215181021644299, 5: 0.6430490172675668, 10: 0.6430490172675668}"
41,"{1: 0.012000083923339844, 2: 0.009999990463256836, 5: 0.0009999275207519531, 10: 0.002000093460083008}",3,"{1: 0.5858678378893509, 2: 0.7209633299236818, 5: 0.7597511806820524, 10: 0.7597511806820524}"
42,"{1: 0.003000020980834961, 2: 0.002000093460083008, 5: 0.002000093460083008, 10: 0.0010001659393310547}",2,"{1: 0.2557855016505, 2: 0.27159245295649737, 5: 0.27159245295649737, 10: 0.27159245295649737}"
43,"{1: 0.009999990463256836, 2: 0.007999897003173828, 5: 0.0019998550415039062, 10: 0.003000020980834961}",10,"{1: 0.5815699122170171, 2: 0.6813464540830511, 5: 0.7123503086062363, 10: 0.7123503086062363}"
44,"{1: 0.013000011444091797, 2: 0.01900005340576172, 5: 0.004000186920166016, 10: 0.003000020980834961}",4,"{1: 0.43204487703987104, 2: 0.5118536005808151, 5: 0.555894647922259, 10: 0.5558946479222591}"
45,"{1: 0.014999866485595703, 2: 0.01900005340576172, 5: 0.002000093460083008, 10: 0.0019998550415039062}",4,"{1: 0.49819406807504657, 2: 0.6055916943057549, 5: 0.6559557300705919, 10: 0.6559557300705918}"
46,"{1: 0.006999969482421875, 2: 0.01100015640258789, 5: 0.002000093460083008, 10: 0.002000093460083008}",3,"{1: 0.5939364297896605, 2: 0.6675388551639945, 5: 0.6744227970276669, 10: 0.6744227970276669}"
47,"{1: 0.009000062942504883, 2: 0.015000104904174805, 5: 0.002000093460083008, 10: 0.0009999275207519531}",5,"{1: 0.45368943715180643, 2: 0.5300800964032737, 5: 0.55645877348104, 10: 0.55645877348104}"
48,"{1: 0.00599980354309082, 2: 0.006000041961669922, 5: 0.0009999275207519531, 10: 0.0019998550415039062}",3,"{1: 0.5701853937774584, 2: 0.6389428192889826, 5: 0.6598082322462533, 10: 0.6598082322462533}"
49,"{1: 0.006999969482421875, 2: 0.0019998550415039062, 5: 0.0009999275207519531, 10: 0.003000020980834961}",2,"{1: 0.4664899041719747, 2: 0.5287678504945665, 5: 0.5287678504945665, 10: 0.5287678504945665}"
